"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.622","64","Less than 10","Male","White","Protestant","Female","White","Protestant","12 years","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.623","29","12 years","Male","White","Protestant","Female","White","Protestant","12 years","23","Male","White","None","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.624","64","10-11 years","Female","White","Catholic","Female","White","Protestant","12 years","46","Male","White","Catholic","10-11 years","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.625","65","10-11 years","Female","White","Protestant","Male","White","Protestant","10-11 years","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.626","76","Less than 10","Male","White","Catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.627","29","13-15 years","Female","White","Protestant","Male","White","Protestant","Less than 10","50","Female","White","Protestant","12 years","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.628","25","13-15 years","Male","White","Catholic","Male","White","Protestant","13-15 years","32","Male","White","Catholic","12 years","54","Male","White","Protestant","12 years","21","Male","White","Catholic","13-15 years","26","Female","White","Catholic","12 years","44"
"1985","1985.629","31","Less than 10","Male","White","None","Female","White","Catholic","13-15 years","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.630","19","10-11 years","Female","White","None","Female","White","Protestant","12 years","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.631","55","12 years","Female","White","Catholic","Female","White","Catholic","12 years","37","Female","White","Catholic","12 years","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.632","45","12 years","Female","White","Protestant","Female","White","Protestant","12 years","47","Female","White","Protestant","12 years","67","Male","White","Protestant","12 years","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
